system   D            wsystem.c:583  maybe_parent_dir                 [   0.03458] Also searching D:\Daten\Dev\Spiele\Osaka\
display  D   display_settings.c:191  debug_display_settings           [   0.06171] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.06172] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06172] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.06173] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06174] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.06175] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06176] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.06177] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06178] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.06179] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06180] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06180] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06181] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06182] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06183] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.06184] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06185] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.06186] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06187] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.06188] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06189] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.06190] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06190] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.06191] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06192] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.06193] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06194] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.06195] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06196] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06197] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06197] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06198] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06199] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.06200] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06201] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.06202] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06203] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.06204] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06204] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.06205] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06206] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.06207] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06208] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.06209] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06210] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.06211] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06212] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06213] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06213] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:377  _al_score_display_settings       [   0.06214] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06215] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.06216] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06217] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.06218] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06219] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.06220] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06220] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.06221] Single Buffer requirement not met.
display  D   display_settings.c:191  debug_display_settings           [   0.06222] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:377  _al_score_display_settings       [   0.06223] Single Buffer requirement not met.
